	Almacen	Fecha	Factura	Cliente	Total venta	Margen de utilidad	Comensales	valor_unidatio
675	Mi llanerita	24/9/2024	126	Consumidor final	37500	34722	1	34722.2222
676	Mi llanerita	24/9/2024	125	Consumidor final	16000	14816	1	14814.8148
677	Mi llanerita	24/9/2024	124	Consumidor final	16900	15648	1	15648.1481
678	Mi llanerita	24/9/2024	123	Consumidor final	35800	33148	1	33148.1481
679	Mi llanerita	24/9/2024	122	Consumidor final	24000	22223	1	22222.2222
680	Mi llanerita	24/9/2024	121	Consumidor final	23900	22130	1	22129.6296
681	Mi llanerita	24/9/2024	120	Consumidor final	15800,0033333333	14630,0000055556	1	14629.6296
682	Mi llanerita	24/9/2024	119	Consumidor final	11800	10926	1	10925.9259
683	Mi llanerita	24/9/2024	118	Consumidor final	66600	61667	1	61666.6667
684	Mi llanerita	24/9/2024	117	Consumidor final	32600	30185	1	30185.1852
685	Mi llanerita	24/9/2024	116	Consumidor final	12700	11759	1	11759.2593
686	Mi llanerita	24/9/2024	115	Consumidor final	34200	31667	1	31666.6667
687	Mi llanerita	24/9/2024	114	Consumidor final	19700	18240	1	18240.7407
688	Mi llanerita	23/9/2024	108	TRAMONTINA	67000	62037	1	62037.037
689	Mi llanerita	23/9/2024	107	Consumidor final	47900	44352	1	44351.8519
690	Mi llanerita	23/9/2024	441	Consumidor final	102900	95278	1	95277.7778
691	Mi llanerita	23/9/2024	442	Consumidor final	23500	21760	1	21759.2593
692	Mi llanerita	23/9/2024	443	Consumidor final	55600	51482	1	51481.4815
693	Mi llanerita	23/9/2024	106	Consumidor final	34000	31481	1	31481.4815
694	Mi llanerita	23/9/2024	444	Consumidor final	69000	63890	1	63888.8889
695	Mi llanerita	23/9/2024	105	NATURALES COSMETICOS ZOI	24000	22223	1	22222.2222
696	Mi llanerita	23/9/2024	445	Consumidor final	82500	76388	1	76388.8889
697	Mi llanerita	23/9/2024	446	Consumidor final	95000	87963	1	87962.963
698	Mi llanerita	23/9/2024	104	Consumidor final	37500	34722	1	34722.2222
699	Mi llanerita	23/9/2024	103	Consumidor final	162000	149998	1	150000.0
700	Mi llanerita	23/9/2024	102	Consumidor final	64400	59629	1	59629.6296
701	Mi llanerita	23/9/2024	101	Consumidor final	10000	9259	1	9259.2593
702	Mi llanerita	23/9/2024	100	Consumidor final	20000	18519	1	18518.5185
703	Mi llanerita	23/9/2024	99	Consumidor final	20000	18519	1	18518.5185
704	Mi llanerita	23/9/2024	98	Consumidor final	20000	18519	1	18518.5185
705	Mi llanerita	23/9/2024	447	Consumidor final	20000	18519	1	18518.5185
706	Mi llanerita	23/9/2024	97	Consumidor final	17400	16111	1	16111.1111
707	Mi llanerita	23/9/2024	96	CENTRO AGROPECUARIO Y VETERINARIA EL PARADERO S.A.S	20000	18519	1	18518.5185
708	Mi llanerita	23/9/2024	95	Consumidor final	40000	37037	1	37037.037
709	Mi llanerita	23/9/2024	448	Consumidor final	57000	39722	1	52777.7778
710	Mi llanerita	23/9/2024	94	Consumidor final	38000	35185	1	35185.1852
711	Mi llanerita	23/9/2024	93	Consumidor final	119000	110185	1	110185.1852
712	Mi llanerita	23/9/2024	449	Consumidor final	34000	31481	1	31481.4815
713	Mi llanerita	23/9/2024	450	Consumidor final	82000	75926	1	75925.9259
714	Mi llanerita	23/9/2024	451	Consumidor final	33800	31296	1	31296.2963
715	Mi llanerita	23/9/2024	452	Consumidor final	59800	55371	1	55370.3704
716	Mi llanerita	23/9/2024	453	Consumidor final	112000	103702	1	103703.7037
717	Mi llanerita	23/9/2024	454	Consumidor final	78000	72221	1	72222.2222
727	Mi llanerita	23/9/2024	92	Consumidor final	121200	112224	1	112222.2222
729	Mi llanerita	23/9/2024	91	Consumidor final	78000	72221	1	72222.2222
735	Mi llanerita	23/9/2024	90	Consumidor final	30600	28379	1	28333.3333
736	Mi llanerita	23/9/2024	89	Consumidor final	23500	21760	1	21759.2593
737	Mi llanerita	23/9/2024	88	Consumidor final	21000	19445	1	19444.4444
738	Mi llanerita	23/9/2024	87	Consumidor final	68000	62962	1	62962.963
739	Mi llanerita	23/9/2024	86	Consumidor final	39900	36945	1	36944.4444
740	Mi llanerita	23/9/2024	85	Consumidor final	150000	138889	1	138888.8889
741	Mi llanerita	23/9/2024	84	Consumidor final	34000	31481	1	31481.4815
742	Mi llanerita	23/9/2024	83	Consumidor final	95000	87962	1	87962.963
743	Mi llanerita	23/9/2024	82	Consumidor final	72700	67405	1	67314.8148
744	Mi llanerita	23/9/2024	81	Consumidor final	44000	40740	1	40740.7407
745	Mi llanerita	23/9/2024	80	Consumidor final	22800	21112	1	21111.1111
746	Mi llanerita	23/9/2024	79	Consumidor final	91000	84259	1	84259.2593
747	Mi llanerita	23/9/2024	78	Consumidor final	108000	100001	1	100000.0
748	Mi llanerita	23/9/2024	77	Consumidor final	42900	39722	1	39722.2222
749	Mi llanerita	23/9/2024	76	Consumidor final	40000	37037	1	37037.037
750	Mi llanerita	23/9/2024	75	Consumidor final	15500	14426	1	14351.8519
751	Mi llanerita	23/9/2024	74	Consumidor final	180000	166664	1	166666.6667
752	Mi llanerita	23/9/2024	73	Consumidor final	57500	53241	1	53240.7407
754	Mi llanerita	23/9/2024	72	Consumidor final	78000	72221	1	72222.2222
755	Mi llanerita	23/9/2024	71	Consumidor final	74000	68519	1	68518.5185
756	Mi llanerita	23/9/2024	70	Consumidor final	61000	56481	1	56481.4815
757	Mi llanerita	23/9/2024	69	Consumidor final	97000	89815	1	89814.8148
